Address__c,Assessed_Value__c,Baths__c,Beds__c,Broker__c,City__c,Date_Agreement__c,Date_Closed__c,Date_Contracted__c,Date_Listed__c,Date_Pre_Market__c,Description__c,Location__latitude__s,Location__longitude__s,Picture__c,Price__c,Price_Sold__c,State__c,Status__c,Tags__c,Thumbnail__c,Zip__c,id
South pressure.,330589.91,2,1,Broker__cRef10,Nation form bill.,2017-12-09,2006-04-16,2022-05-29,1971-09-28,1990-03-13,Daughter such accept large art rest. Become cold anyone.,84.2299525,-79.380727,http://norris-maxwell.com/,802748.4,887281.18,Accept event.,Available,Want whole ten.,http://www.potter-costa.com/,All.,32
TV voice cold will.,271924.53,0,5,Broker__cRef10,Member pattern.,2002-09-12,2016-10-02,2016-09-25,2017-11-29,1991-01-10,Middle occur may reflect sometimes you. Of lose total happy. Young sit herself improve.,-7.7058435,32.266347,https://www.wright.biz/,792509.18,19236.59,Goal along suddenly.,Available,Majority probably.,https://www.clark.com/,Skill.,33
Treatment reflect.,990469.97,3,5,Broker__cRef10,Evidence whether.,1985-09-29,2000-05-25,1985-11-13,1978-08-09,1988-05-20,Professor vote somebody each democratic tonight miss enter. Development without away manage difficult. Rate image other provide campaign where national war.,45.6632065,15.297824,https://chaney.org/,327168.28,353494.31,Toward middle see.,Available,Expert detail tax.,https://www.landry-costa.com/,Cause.,34
Detail fish easy.,610228.44,1,0,Broker__cRef10,Boy sort home.,2023-03-15,2020-09-09,2003-12-12,1998-06-30,1971-10-29,My less medical per.,-49.827586,-74.404577,https://www.green.org/,875947.48,719989.86,About two around.,Closed,Force change tend.,http://mata-mckee.com/,Rate.,35
Can method partner.,539049.51,0,4,Broker__cRef10,You window save.,1993-07-19,1996-01-14,2015-01-20,1990-09-15,2002-12-14,Floor travel think art want establish benefit. Leave hundred wife truth likely section. Job character thousand risk oil growth.,62.8392145,159.426216,https://www.jacobs.info/,114233.12,593570.77,Skill state.,Pre Market,Guess some hotel.,https://flores-meyer.info/,Sure.,36
Agreement bed occur.,38908.8,0,2,Broker__cRef10,Ball no job.,2020-06-19,2018-10-10,1981-05-23,1995-10-08,1999-04-15,Themselves instead wind. Yeah coach quite change her statement try like. Within along hand gun.,-35.8492145,36.909062,http://www.coleman.com/,276655.99,132769.49,Seem green during.,Under Agreement,Opportunity network.,http://www.page-martin.com/,Eat.,37
Already last avoid.,743255.67,3,3,Broker__cRef10,As kitchen group.,1981-12-01,1973-06-29,1982-12-17,2011-12-14,1989-12-06,Force throw successful degree. Then trouble side exactly leg the. Spend everyone unit center nation.,53.5071715,73.666811,https://www.stephens.org/,746928.3,261675.72,Medical staff.,Closed,What mention six.,https://rodgers-doyle.com/,Power.,38
Agree trouble.,780334.68,1,3,Broker__cRef10,Door peace.,1998-04-30,2016-06-01,2019-05-14,2013-10-04,1971-05-21,Simple as notice scientist finish program. Yet marriage easy team produce.,-89.7198305,29.885768,http://hendrix.org/,746677.4,774697.9,Happen until leg.,Closed,Others vote.,http://velez.com/,View.,39
Green it will may.,222688.99,0,1,Broker__cRef10,Behavior share.,1972-06-14,1984-04-10,2010-04-04,1978-04-02,2020-12-09,Anyone discuss woman election ability. More fall data speech fall. Discussion instead book little trade mention.,-61.848292,-80.818079,http://www.frey-saunders.com/,555470.6,701441.49,Thus within.,Available,Believe remain lot.,https://cummings.com/,Bar.,40
TV movement.,501573.23,2,4,Broker__cRef10,Even same early.,1998-12-28,2022-07-22,1995-05-12,1994-06-06,1991-05-24,When affect according manage fish. Fine win interesting should lay behind kid.,80.676589,-125.355039,https://sanford-barron.com/,447244.99,923415.48,Goal nothing each.,Contracted,Age wife own month.,https://case-clayton.com/,Party.,41
Reflect fast power.,542144.64,0,4,Broker__cRef10,Vote result result.,1970-04-02,1995-05-08,1995-02-16,1979-10-22,1983-12-01,Thank pull voice growth. Know actually still.,73.108599,-152.552691,http://espinoza-pierce.net/,573293.35,444937.87,What big that happy.,Closed,Parent fear even.,http://cochran.com/,Want.,42
Media decision.,145686.8,1,3,Broker__cRef10,Training record.,2002-06-22,1981-09-02,2022-03-10,2016-08-30,1988-07-20,Option writer technology.,-44.670369,-154.265811,http://www.duarte-pittman.info/,302746.46,323465.49,Beat nation many.,Under Agreement,Recently media.,http://arellano.com/,Share.,43
Near either speak.,695406.62,0,0,Broker__cRef10,These keep key two.,2014-01-16,2004-08-27,2010-08-10,1974-01-25,1990-05-10,Guy effort guy situation. Market manager fear sense help society staff way. Mention woman law late.,38.606975,-74.176546,http://duran-strickland.com/,524324.28,198109.36,Thank resource.,Under Agreement,This although.,http://novak.com/,Fact.,44
Both two own.,517248.2,2,1,Broker__cRef10,Stand marriage.,2006-06-03,1998-11-07,1973-07-11,1992-03-28,1984-09-24,Hear bad stuff this system. Buy decision first purpose woman international.,-52.9316175,132.022637,http://pierce-ibarra.com/,284502.24,884472.54,Choose pick cell.,Under Agreement,Himself.,https://www.ferrell.com/,Civil.,45
I walk throughout.,301255.52,3,0,Broker__cRef10,Behind science.,1971-06-04,1982-09-27,1987-08-24,2015-10-18,1991-08-10,Even loss fire morning run rise consider case. Star space item beat market production.,86.0841025,-90.701651,https://petersen-marquez.com/,421573.95,847072.94,Fill audience.,Under Agreement,Born they country.,http://www.montes.com/,Add.,46
Take dark officer.,960634.3,1,0,Broker__cRef10,Go short admit.,1986-07-24,1985-02-26,2008-11-14,2001-01-17,1982-08-10,Itself wrong seek research model chair. How wrong respond computer. Attack treat manage let.,20.5373085,-64.798314,https://martin.biz/,547496.48,923087.18,Enough government.,Pre Market,Test little when.,http://www.holmes.com/,Owner.,47
Think economic.,191177.17,0,3,Broker__cRef10,Moment account cost.,1999-12-20,2009-03-18,1990-03-02,1995-04-21,2012-01-02,Never everything wish before. Investment manage health simply. Notice most mean provide.,-13.0080035,-11.932210,https://www.cain.biz/,377238.54,132889.63,Save spend Democrat.,Under Agreement,Positive finish.,https://www.mason-massey.biz/,Trip.,48
Keep low soon they.,395001.5,1,2,Broker__cRef10,Minute soon measure.,2021-12-19,1999-08-13,1987-03-28,1989-01-06,1975-11-22,Mr seek until significant political. Popular pretty audience. Discuss market building leader allow alone. Because manager star marriage.,-58.8318425,-73.680817,https://benjamin.net/,107226.7,229298.29,Better option vote.,Contracted,Experience value.,https://rocha.info/,Board.,49
Experience another.,153587.68,3,3,Broker__cRef10,Be until long.,2018-01-31,1992-02-24,2010-04-01,1996-01-07,2023-03-04,East rise sort cut. Everyone inside financial lot sell probably. Nearly wish blue learn decade.,37.986153,-0.697115,https://mccarthy.info/,884579.6,131989.84,Mrs smile push.,Pre Market,Executive local.,https://www.wilcox.info/,Offer.,50
Later spend still.,708995.5,2,4,Broker__cRef10,Vote as decision.,2015-11-15,1994-11-22,2012-03-21,1973-03-15,2007-05-31,Lose good player push hotel in throw final. Chance rich suffer staff street. Black Democrat build.,5.1587385,-38.129683,https://glover.biz/,586624.16,338102.75,Song sit how.,Closed,Support school.,https://hebert.biz/,About.,51
Why even turn.,359779.17,0,3,Broker__cRef10,Summer maybe group.,1980-05-09,1984-11-01,2009-07-05,2006-07-24,1979-07-08,Raise five article not. Item kind help training.,-56.1140125,15.395095,https://reyes.info/,199760.64,596944.85,Six buy people.,Available,Cold institution.,https://www.whitaker.biz/,Focus.,52
Beyond officer even.,309035.51,2,4,Broker__cRef10,Simply great card.,2015-03-17,2021-01-08,1991-02-20,2019-02-06,2004-08-16,Father sell produce water seven choose movie. Your administration goal child. Knowledge her inside. Brother structure consider.,-7.9621655,147.930834,http://townsend.org/,937485.59,459434.31,Team smile them.,Contracted,Arm time perhaps.,https://www.gomez.com/,Most.,53
Computer although.,485748.29,2,4,Broker__cRef10,Want today fund.,1983-09-18,1993-04-28,1981-04-19,1977-04-03,1999-08-28,Apply cell blood since six begin. Floor special suddenly. Ready score material short back walk minute while. Beat serve produce south each.,-79.6810465,162.793483,http://sampson.com/,140614.3,766021.9,Firm show yes.,Under Agreement,When product true.,http://malone.info/,South.,54
Where born sense.,603799.4,0,4,Broker__cRef10,Also money sort.,1997-07-21,1995-04-14,1994-09-09,2009-12-06,2007-09-23,President want free gun like training maintain leader. Could majority international well. Lead relate throughout rich it win visit.,72.2169755,13.192440,http://www.chang.com/,830848.96,423083.82,Even mean glass.,Pre Market,Identify seat space.,https://www.brooks-gordon.info/,Early.,55
Despite around.,668405.84,3,3,Broker__cRef10,Cell mention right.,2001-06-29,2022-12-18,1995-01-05,2009-10-02,1970-03-27,Son few dream marriage lead kind program. Oil rule stand.,87.3868245,103.070475,https://torres.com/,786341.95,691421.98,Fish dark red.,Closed,Red area someone.,http://david-medina.com/,Us.,56
Still really wear.,692173.4,3,4,Broker__cRef10,Position firm.,1976-08-24,2022-02-05,1991-02-24,1979-05-14,2000-01-28,Cup include never need across buy boy. Magazine star summer audience. Like try detail student.,84.072588,-38.602104,https://nielsen.com/,304695.69,109260.26,Attorney nature.,Contracted,Range hear check.,https://ho.org/,Learn.,57
Reach once time.,211707.78,3,5,Broker__cRef10,Sort owner over.,1978-07-22,1971-03-04,1987-09-21,1998-11-30,2008-05-09,Represent analysis course enjoy no size management. Travel either modern none nearly.,63.567334,92.124205,https://brown-cruz.biz/,387536.53,577827.3,Interesting food.,Available,Article scene.,http://www.nguyen.com/,Up.,58
Already special.,171618.8,0,0,Broker__cRef10,Indeed ever billion.,2019-01-05,1978-12-01,2009-01-06,1980-09-23,2009-02-05,Benefit dark particularly heart wear indeed me. Manage religious worker usually site term. Hundred live author expect drug structure.,31.071551,-98.777680,https://marquez.com/,87147.96,992182.36,Cut score camera.,Pre Market,Let book defense.,https://www.brandt.com/,Time.,59
Indicate where.,388636.1,2,0,Broker__cRef10,Water officer hit.,1989-12-06,1996-12-25,2017-06-05,1977-02-11,2018-09-01,Fire section expect bar defense beat I. Learn process simply trip them from. Open go why they somebody page.,-66.4290025,43.859758,https://www.rivers-henry.info/,364456.37,981011.44,Movie my word six.,Contracted,Determine against.,https://www.gonzales-sims.org/,Over.,60
Understand read.,998995.67,1,2,Broker__cRef10,Religious own write.,2020-08-10,2006-11-29,2000-04-26,2003-08-15,2001-10-02,Yourself base she.,-18.3519975,-113.331163,https://pruitt.net/,577001.2,593057.71,Expert within us.,Contracted,Successful inside.,http://gallegos.info/,Long.,61
Quite camera news.,173809.62,3,0,Broker__cRef10,Industry war others.,2001-08-25,1992-01-20,1992-08-05,1978-08-18,2015-12-18,Strategy wear kitchen school line mouth market. Someone range direction music interesting yourself. Sense beyond all into.,23.219959,-42.214804,http://salinas.biz/,930856.14,922879.83,Upon fact can me.,Under Agreement,Yet big public.,http://www.rich.com/,Pay.,62
Page happy same.,129922.96,2,1,Broker__cRef10,Boy media better.,1984-03-05,1985-10-20,2018-01-15,1974-03-25,1984-01-06,Class piece speak. Tax use city friend probably blood. At money truth year music real job. Expert American low nothing.,-40.9419205,36.636619,https://davenport-taylor.net/,204099.77,471994.12,Space save certain.,Contracted,Author price.,http://www.rose.com/,Smile.,63
Follow top.,617299.2,3,4,Broker__cRef10,About hour training.,1984-04-24,2007-06-04,1970-07-16,2010-08-02,2022-08-07,Common control fact south attorney decide contain. Issue think conference language. Customer enough industry return central without.,-72.150860,92.671925,https://www.sparks-watts.com/,517313.85,505504.79,Performance base.,Contracted,Develop brother act.,http://harrell.biz/,West.,64
Church various.,856303.18,3,0,Broker__cRef10,Subject shoulder.,1985-10-28,2007-03-01,1982-06-07,1996-11-16,1975-12-15,Eye decade too dark should win. Cultural really return close industry newspaper could. Close really major trial cold. Trip building act push memory animal.,31.6108545,-70.225571,http://www.mitchell-hopkins.net/,311257.7,134313.23,Late fast leave boy.,Pre Market,See crime prove.,http://rios-fisher.org/,Side.,65
Article question.,301195.94,3,0,Broker__cRef10,East education drug.,2017-07-28,1972-03-16,1983-06-20,2004-06-02,1976-05-04,Hear case suggest line phone station generation. Officer guy discuss official beautiful together. Industry oil land this. Create now head.,-76.0565905,-37.340195,http://www.werner.com/,273411.14,800123.67,Policy national.,Contracted,Radio foot life.,https://www.david-warren.com/,Fill.,66
Research step near.,321946.29,3,4,Broker__cRef10,Some individual.,1983-01-11,1970-07-04,2020-04-08,1977-10-11,2015-06-08,Rather happen likely range order loss toward. Attack more yet then pick. The hope pressure no chance because well.,-32.4330875,177.364037,https://www.snyder.info/,544839.65,296422.15,Piece their land.,Contracted,Hand forget off.,http://www.larsen.info/,Hope.,67
Social myself most.,72654.7,1,0,Broker__cRef10,Professional car.,1972-10-25,2008-11-08,1999-05-17,1991-04-03,2012-07-20,Trip hair mouth campaign. Space ten street option beyond black. Land war smile voice.,31.2511205,42.835775,http://mccann.com/,660837.13,440557.52,Artist push.,Available,Subject machine sit.,http://www.pratt.info/,Small.,68
Their address ball.,33325.79,3,3,Broker__cRef10,Even mind cup next.,1999-07-01,1983-01-01,2004-07-01,2002-09-01,2019-03-09,Seem they camera budget reality long. Affect agreement sound.,83.093622,-114.212524,http://www.villegas.info/,241876.76,625042.92,Subject according.,Closed,Life green national.,https://andrews.com/,Lose.,69
Watch kid owner.,446897.59,1,3,Broker__cRef10,Yeah all majority.,2005-03-12,2022-07-11,2019-04-11,1973-07-05,1998-04-23,Develop security attorney mention idea. Citizen bring land page can fast. Reduce growth resource peace church.,82.3909175,-71.565200,https://www.hardin.info/,158792.98,60314.1,No edge side claim.,Closed,Create the PM edge.,http://www.rios.com/,May.,70
So much none step.,196097.88,3,1,Broker__cRef10,Enjoy memory do.,1985-05-26,2016-08-07,2018-12-17,2022-10-13,2013-06-26,Allow past piece staff vote. Certainly concern miss quality. Deal daughter why similar good task. Society if prove arm health glass use into.,61.390597,104.465491,https://www.hinton-everett.com/,886874.32,761883.99,Avoid contain such.,Pre Market,Security.,http://www.combs.org/,Base.,71
Many where herself.,400681.35,3,3,Broker__cRef10,Word image movie.,1986-06-30,1994-12-07,2006-08-15,1985-10-07,2001-09-19,Rest mission first to. Who number husband almost need play beyond. Ten church truth account back then. Everyone bit site choice yet relationship simple.,-22.976839,-81.064033,https://marquez-bradford.net/,93349.54,879280.55,Left more determine.,Available,Great particular.,https://www.riddle.org/,Price.,72
Against hard one.,142547.48,0,4,Broker__cRef10,Piece particularly.,1989-03-17,1996-09-23,2004-06-26,2019-04-13,1982-10-21,Trial do value prove moment add. This because air. Movie production control involve six partner son rate.,18.5197785,173.237025,http://www.pace-zimmerman.info/,598427.96,498734.75,Marriage serve.,Available,Sport tend vote.,http://www.schaefer.com/,Hotel.,73
Point now.,853998.38,3,5,Broker__cRef10,Require commercial.,1997-10-05,1991-10-30,1993-06-27,1987-03-24,2009-03-31,Learn avoid water class admit. Guy prove consumer end list act law. Economic night people college.,-79.2429875,-43.400508,http://frost.org/,605277.82,751569.14,Model down.,Contracted,North serious.,https://www.vega.net/,Join.,74
Purpose experience.,430526.45,2,5,Broker__cRef10,Decade probably.,1977-04-28,1994-04-06,1979-08-15,2002-08-17,1972-10-27,Fill bag without experience effect ask. Husband rich heart bed. Lawyer fast point win agency.,32.806138,-36.221707,https://www.watson-beasley.com/,258419.69,959087.52,Visit save option.,Closed,Candidate another.,http://www.bowman-hale.com/,Until.,75
Any value own.,334591.0,0,0,Broker__cRef10,Become few mother.,2007-08-15,2007-10-31,1990-06-05,1984-12-21,1991-07-06,Fall this magazine record kind experience. Day follow character treat something consumer value.,70.2977235,-106.872346,https://www.costa-esparza.com/,584284.9,151261.11,Throughout fish.,Contracted,Throw claim this.,http://beasley.biz/,Base.,76
Rock truth toward.,381670.46,1,4,Broker__cRef10,Station again.,2009-07-17,2006-11-09,2016-05-08,1977-12-22,1988-05-29,Language hard deep write civil real. Tree assume long have customer change. Stand local face fire energy enough.,-2.773591,-2.135136,https://www.carter.com/,941332.58,50394.79,Ready I former.,Under Agreement,Off establish.,http://www.alvarado.com/,Scene.,77
Day film material.,112144.18,3,2,Broker__cRef10,Yard meeting or.,2015-09-17,1974-05-26,1983-03-14,1989-08-11,1987-10-18,Born much address well red while. Serve mouth together military.,-55.455593,-62.010120,http://stanley-arroyo.org/,122388.34,669384.61,You every never.,Closed,Right painting.,https://www.hardin.com/,Point.,78
Around star four.,177760.2,2,4,Broker__cRef10,Degree surface.,2007-04-30,1970-05-11,1980-07-04,2011-04-14,2001-05-08,Individual few grow social. Foreign this impact everyone challenge.,10.9378875,-12.557834,http://kerr-baird.com/,258733.13,386285.16,Bag phone lead.,Under Agreement,Police follow throw.,https://www.barry.com/,Leave.,79
Democratic state.,698179.4,3,1,Broker__cRef10,College some effort.,2006-12-15,1992-03-31,1990-09-14,1978-08-28,2002-03-08,Treat much early. Behavior seven might soon bag into. Perhaps hard note.,-13.973567,148.156438,http://www.leonard.com/,62717.25,273340.44,Sea interesting.,Under Agreement,Public energy.,https://www.jefferson.biz/,Above.,80
Chair fire child.,727095.65,1,3,Broker__cRef10,Standard test.,1970-03-16,1995-07-19,1984-03-24,1978-11-30,1982-10-01,Research people economic treatment open pay hard education. Agree wind tree describe different woman science. Reflect contain accept sign place budget.,-75.8625305,-9.864013,https://gross-flores.com/,6456.75,47088.79,True manage father.,Pre Market,Price together.,http://www.mcguire.info/,Sell.,81
